direction,entry_date,entry_price,initial_stop,initial_risk,shares_total,shares_remaining,first_target,current_stop,setup_date,is_free_bar_trigger,first_target_hit,highest_high,lowest_low,bars_held,realized_pnl,exit_date,exit_price_final,exit_reason,r_multiple,is_closed
long,2000-03-21 00:00:00,92.82036786826772,86.2783638059037,6.542004062364029,76,0,99.36237193063175,86.2783638059037,2000-03-17 00:00:00,False,False,98.09476116647748,92.82036786826772,10,181.07752872124735,2000-04-03 00:00:00,95.2129669303894,time_stop,0.36420018077162364,True
long,2000-03-31 00:00:00,95.70375599970585,89.24435460039032,6.459401399315524,77,0,102.16315739902137,89.24435460039032,2000-03-28 00:00:00,False,False,95.9298144663163,95.70375599970585,3,-498.1439077472954,2000-04-04 00:00:00,89.24435460039032,stop,-1.0015481310700183,True
short,2000-04-20 00:00:00,89.74933078849159,97.19242398008485,7.443093191593263,66,0,82.30623759689833,97.19242398008485,2000-04-17 00:00:00,False,False,89.74933078849159,88.03731319874684,10,24.949960588113836,2000-05-04 00:00:00,89.36130108261108,time_stop,0.050789328596273005,True
short,2000-08-03 00:00:00,90.18770202833225,94.4685424221009,4.280840393768642,116,0,85.90686163456361,94.4685424221009,2000-07-28 00:00:00,False,False,90.18770202833225,90.03987577806396,9,-497.7374856771625,2000-08-15 00:00:00,94.4685424221009,stop,-1.002335989917904,True
short,2000-09-20 00:00:00,91.56129115462991,95.32724138568543,3.7659502310555126,131,0,87.7953409235744,95.32724138568543,2000-09-18 00:00:00,False,False,91.56129115462991,89.94965642842891,10,172.81735663432534,2000-10-03 00:00:00,90.23207469177247,time_stop,0.3503010878844509,True
short,2000-09-26 00:00:00,90.93829420734319,94.95005007636213,4.011755869018941,123,0,86.92653833832425,94.95005007636213,2000-09-22 00:00:00,False,False,90.93829420734319,88.20918706485205,10,280.3474889749227,2000-10-09 00:00:00,88.64904632949829,time_stop,0.5681422180862369,True
short,2000-10-17 00:00:00,86.48829737545515,91.58573742963875,5.097440054183608,97,0,81.39085732127154,91.58573742963875,2000-10-13 00:00:00,False,False,86.48829737545515,82.37471686173195,10,-243.1907937562663,2000-10-30 00:00:00,88.9854189605713,time_stop,-0.4918393465085449,True
short,2000-10-25 00:00:00,87.80362205620808,93.39401149023455,5.590389434026463,89,0,82.21323262218162,93.39401149023455,2000-10-18 00:00:00,False,False,87.80362205620808,84.82715390052324,10,-287.46670700862,2000-11-07 00:00:00,91.02358505630494,time_stop,-0.5777706612776137,True
short,2000-11-16 00:00:00,87.1607881144734,92.6307735111871,5.469985396713696,90,0,81.69080271775971,92.6307735111871,2000-11-13 00:00:00,False,False,87.1607881144734,82.11759930346386,10,305.039143803583,2000-11-30 00:00:00,83.7614642944336,time_stop,0.619622096628645,True
short,2000-12-29 00:00:00,84.1547907516861,89.99021967423779,5.835428922551699,85,0,78.3193618291344,89.99021967423779,2000-12-21 00:00:00,False,False,84.1547907516861,80.98075959614214,10,25.93036885776535,2001-01-12 00:00:00,83.83972758865356,time_stop,0.052277761768904626,True
short,2001-02-28 00:00:00,79.6578094572086,84.76020595280397,5.102396495595372,97,0,74.55541296161323,84.76020595280397,2001-02-26 00:00:00,False,False,79.6578094572086,74.6118349424874,10,331.4632838592435,2001-03-13 00:00:00,76.23066220092774,time_stop,0.6697141743552668,True
short,2001-03-09 00:00:00,80.04233551483263,84.97972395064127,4.937388435808643,100,0,75.10494707902399,72.51897127747554,2001-03-02 00:00:00,False,True,80.04233551483263,68.77195646438409,11,622.0376336582865,2001-03-23 00:00:00,72.51897127747554,trailing_stop,1.259851522207427,True
short,2001-03-28 00:00:00,73.36047719155529,79.01373582759696,5.65325863604167,88,0,67.70721855551362,79.01373582759696,2001-03-23 00:00:00,False,False,73.36047719155529,69.57397172824015,10,-82.65137759601475,2001-04-10 00:00:00,74.28969739151,time_stop,-0.1661378437502979,True
short,2001-04-06 00:00:00,71.59095490175818,77.57164902411698,5.980694122358798,83,0,65.61026077939938,77.57164902411698,2001-04-04 00:00:00,False,False,71.59095490175818,71.33083281616989,8,-497.22761215578026,2001-04-18 00:00:00,77.57164902411698,stop,-1.0016720467215694,True
long,2001-04-25 00:00:00,78.72833398249111,72.96580201785835,5.762531964632757,86,0,84.49086594712386,72.96580201785835,2001-04-19 00:00:00,False,False,81.28000452953268,78.72833398249111,10,132.4684980944492,2001-05-08 00:00:00,80.27866535568238,time_stop,0.2673011416934386,True
short,2001-06-19 00:00:00,77.16312537047597,81.1712276693734,4.008102298897427,124,0,73.15502307157854,81.1712276693734,2001-06-15 00:00:00,False,False,77.16312537047597,76.96607266876237,10,-263.50996321625394,2001-07-02 00:00:00,79.27820571899414,time_stop,-0.5301961352390524,True
short,2001-07-16 00:00:00,76.97801557544736,80.87529328916979,3.8972777137224313,127,0,73.08073786172493,80.87529328916979,2001-07-11 00:00:00,False,False,76.97801557544736,74.52759679194979,10,-24.10739623916908,2001-07-27 00:00:00,77.15783759307861,time_stop,-0.04870631029523085,True
short,2001-09-05 00:00:00,72.34997893304184,76.12973436718984,3.779755434148001,131,0,68.57022349889384,67.00116997891449,2001-08-30 00:00:00,False,True,72.34997893304184,63.835193379177966,5,863.679576277091,2001-09-17 00:00:00,67.00116997891449,trailing_stop,1.7442858353074233,True
short,2001-10-05 00:00:00,68.37974092440082,73.78706061025493,5.407319685854105,92,0,62.972421238546715,73.78706061025493,2001-09-27 00:00:00,False,False,68.37974092440082,67.6116467124963,10,-45.42240159025657,2001-10-18 00:00:00,68.86346268081665,time_stop,-0.09130618959101679,True
short,2002-02-04 00:00:00,72.09979482835966,75.68106481035353,3.58126998199387,140,0,68.51852484636579,75.68106481035353,2002-01-30 00:00:00,False,False,72.09979482835966,69.43869648520239,10,106.01906336964575,2002-02-15 00:00:00,71.33251580429076,time_stop,0.21145544119164217,True
short,2002-02-15 00:00:00,71.72688457462789,75.24021335890006,3.5133287842721757,143,0,68.21355579035571,75.24021335890006,2002-02-06 00:00:00,False,False,71.72688457462789,69.32297090632451,10,-207.1925698807937,2002-03-01 00:00:00,73.16578366470337,time_stop,-0.41240065449087643,True
long,2002-03-15 00:00:00,74.87877480468151,71.43823804282302,3.440536761858496,145,0,78.31931156654001,71.43823804282302,2002-03-08 00:00:00,False,False,75.91790175439992,74.87877480468151,10,-157.18191571339548,2002-03-28 00:00:00,73.80476159286499,time_stop,-0.31507095748366964,True
short,2002-05-03 00:00:00,69.47574090107928,72.92873064505915,3.4529897439798702,145,0,66.0227511570994,72.92873064505915,2002-04-30 00:00:00,False,False,69.47574090107928,67.63879694925485,10,-250.72980086511092,2002-05-16 00:00:00,71.19491194152832,time_stop,-0.5007750293680343,True
short,2002-05-10 00:00:00,69.34681157401751,73.09601307095583,3.7492014969383263,133,0,65.59761007707918,73.09601307095583,2002-05-07 00:00:00,False,False,69.34681157401751,68.0901188204215,10,-224.81998953064002,2002-05-23 00:00:00,71.02718743515014,time_stop,-0.4508629004104012,True
short,2002-06-06 00:00:00,67.26414758913607,70.83655051297903,3.572402923842958,139,0,63.691744665293115,66.02067191111074,2002-06-04 00:00:00,False,True,67.26414758913607,63.51211813432565,8,332.1490992069375,2002-06-17 00:00:00,66.02067191111074,trailing_stop,0.6688948351401461,True
short,2002-06-11 00:00:00,66.40654889531143,70.06556462454273,3.6590157292312995,136,0,62.74753316608013,70.06556462454273,2002-06-07 00:00:00,False,False,66.40654889531143,62.925560523495705,10,243.26625874062518,2002-06-24 00:00:00,64.60782640457154,time_stop,0.48885345762524857,True
short,2002-06-14 00:00:00,64.66919203040938,68.43202269558701,3.7628306651776313,132,0,60.906361365231746,68.43202269558701,2002-06-12 00:00:00,False,False,64.66919203040938,61.59266321169582,10,38.39521379772844,2002-06-27 00:00:00,64.3683191986084,time_stop,0.07730160022687117,True
short,2002-06-19 00:00:00,66.726017098715,70.6014822934409,3.8754651947258907,129,0,62.850551903989114,64.42475683999088,2002-06-14 00:00:00,False,True,66.726017098715,61.59266321169582,8,476.4126812520767,2002-06-28 00:00:00,64.42475683999088,trailing_stop,0.9529492266166075,True
short,2002-07-01 00:00:00,63.960316407743235,68.29015050492347,4.329834097180239,116,0,59.630482310562996,60.19625749227954,2002-06-27 00:00:00,False,True,63.960316407743235,56.86918928220526,12,468.285794733348,2002-07-17 00:00:00,60.19625749227954,trailing_stop,0.9323559322864093,True
short,2002-07-09 00:00:00,63.106183756462926,67.69768990585013,4.5915061493872,109,0,58.514677607075726,60.19625749227954,2002-07-03 00:00:00,False,True,63.106183756462926,56.86918928220526,7,406.89727659699486,2002-07-17 00:00:00,60.19625749227954,trailing_stop,0.813023529999046,True
short,2002-08-01 00:00:00,57.72916429008303,63.70712253088933,5.977958240806302,85,0,51.751206049276725,63.70712253088933,2002-07-25 00:00:00,False,False,57.72916429008303,54.060991868809694,10,-168.4353621823906,2002-08-14 00:00:00,59.700756786346446,time_stop,-0.33148316138055584,True
short,2002-09-27 00:00:00,54.8682822064168,59.43446099077941,4.566178784362606,111,0,50.302103422054195,53.496475656410176,2002-09-25 00:00:00,False,True,54.8682822064168,50.09167304156996,11,326.8509999403143,2002-10-11 00:00:00,53.496475656410176,trailing_stop,0.6448726040141095,True
short,2002-10-03 00:00:00,53.66587190226914,58.469536314148364,4.803664411879225,105,0,48.86220749038991,58.469536314148364,2002-09-30 00:00:00,False,False,53.66587190226914,50.09167304156996,10,-275.6740012756873,2002-10-16 00:00:00,56.28133858108521,time_stop,-0.5465549742241402,True
