entry_date,setup_date,direction,entry_price,exit_price,exit_date,exit_reason,bars_held,r_multiple,first_target_hit,initial_risk
2005-03-11 00:00:00,2005-03-07 00:00:00,long,82.21555411562235,79.89996255819071,2005-03-22 00:00:00,stop,8,-1.004318550898109,False,2.3155915574316452
2005-04-20 00:00:00,2005-04-18 00:00:00,short,77.96836228627626,79.23009360122681,2005-05-03 00:00:00,time_stop,10,-0.4872861697160338,False,2.6098243578135083
2005-04-22 00:00:00,2005-04-20 00:00:00,short,77.66273203053902,79.81446920013428,2005-05-05 00:00:00,time_stop,10,-0.7677196321899312,False,2.815789878173206
2005-07-19 00:00:00,2005-07-14 00:00:00,long,83.68653537621401,84.27536138153076,2005-08-01 00:00:00,time_stop,10,0.276127859576244,False,2.0962245758361178
2005-10-10 00:00:00,2005-10-06 00:00:00,short,81.56112587515163,80.9367723197937,2005-10-21 00:00:00,time_stop,10,0.2449012833974078,False,2.5085762999493966
2005-10-12 00:00:00,2005-10-10 00:00:00,short,81.00640874652973,82.02612287521362,2005-10-25 00:00:00,time_stop,10,-0.4045891667995165,False,2.5450857639847158
2005-10-18 00:00:00,2005-10-13 00:00:00,short,81.09543791885507,82.30710894012451,2005-10-31 00:00:00,time_stop,10,-0.4845620421509988,False,2.521185967944106
2005-12-01 00:00:00,2005-11-29 00:00:00,long,86.66182231937334,87.48146779251098,2005-12-14 00:00:00,time_stop,10,0.3324912246239176,False,2.435088246474578
2005-12-12 00:00:00,2005-12-06 00:00:00,long,86.83984935905538,87.22272424316407,2005-12-23 00:00:00,time_stop,10,0.1614327555573441,False,2.3097845466450906
2006-01-11 00:00:00,2006-01-09 00:00:00,long,88.83223878407907,86.70928759570852,2006-01-25 00:00:00,stop,10,-1.004710423892353,False,2.12295118837055
2006-01-18 00:00:00,2006-01-11 00:00:00,long,88.42916298395174,87.7319299621582,2006-01-31 00:00:00,time_stop,10,-0.3310314029862217,False,2.1364529631135127
2006-05-30 00:00:00,2006-05-24 00:00:00,short,88.11175366394329,85.74168669891357,2006-06-12 00:00:00,time_stop,10,0.8045967693583116,False,2.9332294820322744
2006-06-12 00:00:00,2006-06-08 00:00:00,short,86.57739376024854,86.43322492218017,2006-06-23 00:00:00,time_stop,10,0.04113711401208753,False,3.2615034207052958
2006-06-19 00:00:00,2006-06-14 00:00:00,short,86.38392977258404,88.40581411743165,2006-06-30 00:00:00,time_stop,10,-0.5959222945239672,False,3.4096464648477536
2006-10-09 00:00:00,2006-10-05 00:00:00,long,94.22304530520267,95.3685516357422,2006-10-20 00:00:00,time_stop,10,0.5285321904726743,False,2.14841470587443
2006-10-18 00:00:00,2006-10-16 00:00:00,long,95.56572643674272,96.03068073272705,2006-10-31 00:00:00,time_stop,10,0.214971670350493,False,2.116345354913804
2006-10-03 00:00:00,2006-09-27 00:00:00,long,93.33744961066337,95.55658797894262,2006-11-01 00:00:00,trailing_stop,22,1.0067332801591087,True,2.169917049447335
