entry_date,setup_date,direction,entry_price,exit_price,exit_date,exit_reason,bars_held,r_multiple,first_target_hit,initial_risk
2005-02-04 00:00:00,2005-02-01 00:00:00,long,46.4472741050306,46.01754139518738,2005-02-17 00:00:00,time_stop,10,-0.46133149949419994,False,0.9531816282333665
2005-02-14 00:00:00,2005-02-10 00:00:00,long,46.71339353172305,45.47311098816824,2005-02-18 00:00:00,stop_gap,5,-1.225316127952027,False,1.0203754892580363
2005-03-18 00:00:00,2005-03-14 00:00:00,short,44.774797924187375,45.17567560958862,2005-04-01 00:00:00,time_stop,10,-0.3667319698292274,False,1.1203759672018165
2005-03-28 00:00:00,2005-03-22 00:00:00,short,44.316334566573765,44.99860423851013,2005-04-08 00:00:00,time_stop,10,-0.632968689178317,False,1.0936870713700415
2005-04-22 00:00:00,2005-04-20 00:00:00,long,46.24504263807574,46.52973634147644,2005-05-05 00:00:00,time_stop,10,0.24056083127848069,False,1.1418887353390943
2005-05-03 00:00:00,2005-04-29 00:00:00,long,46.83690524145624,47.01158910560608,2005-05-16 00:00:00,time_stop,10,0.15257165755460234,False,1.0793870027327799
2005-05-05 00:00:00,2005-05-03 00:00:00,long,46.56285744221737,47.45789904212952,2005-05-18 00:00:00,time_stop,10,0.7934859647740765,False,1.1153840637422476
2005-05-23 00:00:00,2005-05-19 00:00:00,long,47.50684358750735,48.645634716771475,2005-06-03 00:00:00,trailing_stop,9,1.0518641413078573,True,1.0138786797183528
2005-05-31 00:00:00,2005-05-25 00:00:00,long,47.821499173870606,48.645634716771475,2005-06-03 00:00:00,trailing_stop,4,0.889685624247655,True,1.031222297024918
2005-06-29 00:00:00,2005-06-27 00:00:00,long,49.14372640731103,48.04269400075523,2005-07-11 00:00:00,stop,8,-1.009082384805804,False,1.1010324065557953
2005-09-09 00:00:00,2005-09-01 00:00:00,long,48.39740943473919,47.3652508609241,2005-09-16 00:00:00,stop,6,-1.009688433786911,False,1.0321585738150887
2005-09-20 00:00:00,2005-09-16 00:00:00,short,47.38961840113069,47.113629117965694,2005-10-03 00:00:00,time_stop,10,0.24869484370730846,False,1.069540804304097
2005-10-20 00:00:00,2005-10-14 00:00:00,short,46.64593512087085,46.14912733268738,2005-11-02 00:00:00,time_stop,10,0.4981045625554878,False,0.977320476018015
2005-10-28 00:00:00,2005-10-26 00:00:00,short,46.12951877949284,46.45037575149537,2005-11-10 00:00:00,time_stop,10,-0.31330209358415434,False,1.0560317941624646
2005-11-01 00:00:00,2005-10-28 00:00:00,short,46.27421477106354,46.12836118698121,2005-11-14 00:00:00,time_stop,10,0.13182653703801384,False,1.030548075788083
2005-11-09 00:00:00,2005-11-04 00:00:00,short,46.07455464500726,47.13404257522933,2005-11-17 00:00:00,stop,7,-1.0094385218696205,False,1.059487930222069
2006-01-05 00:00:00,2005-12-30 00:00:00,long,48.21983086158691,48.21235484695435,2006-01-19 00:00:00,time_stop,10,-0.016950524072244576,False,1.0310014344143283
2006-03-15 00:00:00,2006-03-13 00:00:00,short,46.61260085046676,46.38163488578795,2006-03-28 00:00:00,time_stop,10,0.2328766021548581,False,0.9488542972293601
2006-04-06 00:00:00,2006-04-04 00:00:00,short,45.656205345557915,45.13675917737,2006-04-24 00:00:00,trailing_stop,12,0.7574692971370676,True,0.9682085775046332
2006-04-25 00:00:00,2006-04-21 00:00:00,short,44.884154898348605,44.465611587524414,2006-05-08 00:00:00,time_stop,10,0.40331420735919504,False,1.0129653341478715
2006-05-03 00:00:00,2006-05-01 00:00:00,short,44.21609994798894,44.43896023750305,2006-05-16 00:00:00,time_stop,10,-0.24314717855472184,False,0.957692747652878
2006-05-17 00:00:00,2006-05-12 00:00:00,short,44.04015605384624,45.01357458742655,2006-05-19 00:00:00,stop,3,-1.010273073354397,False,0.9734185335803076
2006-05-09 00:00:00,2006-05-03 00:00:00,short,44.35963222662189,44.975876358032224,2006-05-22 00:00:00,time_stop,10,-0.6828568730214631,False,0.9170942786873724
2006-06-13 00:00:00,2006-06-09 00:00:00,long,45.80388046264649,44.87625725536425,2006-06-19 00:00:00,stop,5,-1.0107802391331908,False,0.9276232072822381
2006-08-15 00:00:00,2006-08-08 00:00:00,long,46.12851641643812,46.90167731262293,2006-09-06 00:00:00,trailing_stop_gap,16,0.9927296348662349,True,0.8156789222999947
2006-09-07 00:00:00,2006-09-01 00:00:00,long,47.0296321105957,47.709078016281126,2006-09-20 00:00:00,time_stop,10,0.8912436754229843,False,0.7511367812710787
2006-10-04 00:00:00,2006-10-02 00:00:00,long,48.49003067116865,47.65603269056969,2006-10-10 00:00:00,stop,5,-1.011990436706835,False,0.8339979805989586
2006-11-07 00:00:00,2006-11-02 00:00:00,long,48.579904863138644,48.98605761528016,2006-11-20 00:00:00,time_stop,10,0.42905703786165217,False,0.9233102296046098
2006-11-14 00:00:00,2006-11-10 00:00:00,long,49.15651396645612,49.55697333908081,2006-11-28 00:00:00,time_stop,10,0.4463459966916463,False,0.874790802468965
2006-11-17 00:00:00,2006-11-14 00:00:00,long,49.00879156226657,49.56818306830226,2006-12-07 00:00:00,trailing_stop,14,0.7975115478541099,True,0.9065051590874518
2006-12-12 00:00:00,2006-12-05 00:00:00,long,49.56928636015394,48.93505011177062,2006-12-26 00:00:00,time_stop,10,-0.7497365594157989,False,0.8592834913710377
2007-01-05 00:00:00,2006-12-28 00:00:00,short,48.64437610491797,48.23466512489319,2007-01-19 00:00:00,time_stop,10,0.41842731601131555,False,0.9552698036902711
2007-03-12 00:00:00,2007-03-08 00:00:00,long,49.666485748527904,49.00900298500061,2007-03-23 00:00:00,time_stop,10,-0.6763408981120163,False,0.9869028553360408
