civil_date,total_row_count,rows_from_offset_0,rows_from_offset_minus_1,rows_from_offset_minus_7,rows_from_offset_minus_30,rows_from_offset_minus_365,rows_from_offset_minus_3650,rows_from_offset_plus_1,t0_file_status,expected_contributing_files_count,available_contributing_files_count,coverage_quality_flag,coverage_completeness,represented_only,documented_exception_label
2013-06-14,108516,105540,383,1137,564,710,0,182,present,6,6,full,1.0,False,
2013-06-15,77331,74810,307,645,727,727,0,115,present,6,6,full,1.0,False,
2013-06-16,79010,75179,542,1037,973,1204,0,75,present,6,6,full,1.0,False,
2013-06-17,120830,117094,671,710,842,1408,0,105,present,6,6,full,1.0,False,
2013-06-18,109765,105735,625,989,959,1274,0,183,present,6,6,full,1.0,False,
2013-06-19,107340,103546,854,823,764,1205,0,148,present,6,6,full,1.0,False,
2013-06-20,110417,106253,893,1226,530,1367,0,148,present,6,6,full,1.0,False,
2013-06-21,113723,110593,482,1208,515,704,0,221,present,6,6,full,1.0,False,
2013-06-22,69598,66517,527,681,760,973,0,140,present,6,6,full,1.0,False,
2013-06-23,84840,81615,318,904,701,1234,0,68,present,6,6,full,1.0,False,
2013-06-24,100703,96624,882,905,821,1275,0,196,present,6,6,full,1.0,False,
2013-06-25,96109,91600,560,1563,687,1547,0,152,present,6,6,full,1.0,False,
2013-06-26,86602,81890,1136,1234,718,1489,0,135,present,6,6,full,1.0,False,
2013-06-27,130276,126827,896,775,387,1213,0,178,present,6,6,full,1.0,False,
2013-06-28,116506,113816,539,814,426,717,0,194,present,6,6,full,1.0,False,
2013-06-29,77043,74516,543,502,656,614,0,212,present,6,6,full,1.0,False,
2013-06-30,88169,84798,402,777,677,1345,0,170,present,6,6,full,1.0,False,
2013-07-01,86396,81410,1235,1645,616,1303,0,187,present,6,6,full,1.0,False,
2013-07-02,140441,135623,1211,1367,806,1295,0,139,present,6,6,full,1.0,False,
2013-07-03,135044,130439,1023,1207,841,1274,0,260,present,6,6,full,1.0,False,
2013-07-04,114370,110466,1049,1159,513,971,0,212,present,6,6,full,1.0,False,
2013-07-05,109351,106345,595,1059,595,620,0,137,present,6,6,full,1.0,False,
2013-07-06,73234,70021,480,929,951,706,0,147,present,6,6,full,1.0,False,
2013-07-07,78757,73931,868,857,1397,1588,0,116,present,6,6,full,1.0,False,
2013-07-08,124465,119101,942,1422,1596,1251,0,153,present,6,6,full,1.0,False,
2013-07-09,129736,125204,943,1043,1111,1238,0,197,present,6,6,full,1.0,False,
2013-07-10,127811,122806,854,1290,1083,1636,0,142,present,6,6,full,1.0,False,
2013-07-11,124727,119475,967,1045,859,2228,0,153,present,6,6,full,1.0,False,
2013-07-12,121681,118430,583,1098,788,619,0,163,present,6,6,full,1.0,False,
2013-07-13,75855,72482,456,828,1217,710,0,162,present,6,6,full,1.0,False,
2013-07-14,78375,74094,878,972,1181,1165,0,85,present,6,6,full,1.0,False,
2013-07-15,126309,120454,1111,2086,1133,1398,0,127,present,6,6,full,1.0,False,
2013-07-16,134763,130383,1253,1194,252,1432,0,249,present,6,6,full,1.0,False,
2013-07-17,145797,141109,1197,1170,871,1211,0,239,present,6,6,full,1.0,False,
