civil_date,represented_only,documented_exception_label,is_known_substrate_gap,terminal_status,coverage_quality_flag,rows_from_offset_0,rows_from_offset_minus_1,rows_from_offset_minus_7,rows_from_offset_minus_30,rows_from_offset_minus_365,rows_from_offset_minus_3650,rows_from_offset_plus_1,total_row_count,log1p_total_row_count,log1p_rows_from_offset_0,log1p_rows_from_offset_minus_1,log1p_rows_from_offset_minus_7,log1p_rows_from_offset_minus_30,log1p_rows_from_offset_minus_365,log1p_rows_from_offset_minus_3650,log1p_rows_from_offset_plus_1,offset_count_present_count,offset_count_zero_count,has_any_missing_offset_count,coverage_completeness,offset_0_share_of_total,share_offset_minus_1,share_offset_minus_7,share_offset_minus_30,share_offset_minus_365,share_offset_minus_3650,share_offset_plus_1,neighbor_offset_sum,neighbor_offset_share_of_total,nonzero_offset_count,roll_mean_total_w7,roll_mean_total_w14,roll_mean_total_w30,roll_std_total_w7,roll_std_total_w14,roll_std_total_w30,roll_mean_log1p_total_w7,roll_mean_log1p_total_w14,roll_mean_log1p_total_w30,roll_std_log1p_total_w7,roll_std_log1p_total_w14,roll_std_log1p_total_w30,roll_z_log1p_total_w7,roll_z_log1p_total_w14,roll_z_log1p_total_w30,roll_pct_log1p_total_w30,roll_pct_log1p_total_w90,roll_pct_log1p_total_w365,delta_log1p_total_dod,roll_mean_offset_0_share_w30,roll_std_offset_0_share_w30,roll_z_offset_0_share_w30,spike_w7_z_ge_2,spike_w7_z_ge_3,spike_w14_z_ge_2,spike_w14_z_ge_3,spike_w30_z_ge_2,spike_w30_z_ge_3,is_domain_start_edge,is_rolling_window_warmup,has_full_7d_history,has_full_30d_history,has_full_365d_history
2013-04-19,false,,false,raw_t0_present,full,28056,141,262,180,945,0,65,29649,10.297217404425872,10.241993434184533,4.955827057601261,5.572154032177765,5.198497031265826,6.852242569051878,0.0,4.189654742026425,6,1,true,1.0,0.9462713750885359,0.004755640999696448,0.008836722992343756,0.006071031063442275,0.03187291308307194,0.0,0.0021923167729097103,1593,0.05372862491146413,6,31497.285714285714,34157.07142857143,,5898.52531610757,7300.494719424954,,10.341504483090107,10.41592530624058,,0.19789967975228276,0.22602533469604627,,-0.22378549939883882,-0.5251973278762875,,,,,-0.1969692344594094,,,,false,false,false,false,false,false,false,true,true,false,false
2013-04-20,false,,false,raw_t0_present,full,17745,146,240,315,857,0,29,19332,9.869568759332502,9.783915417395283,4.990432586778736,5.484796933490655,5.755742213586912,6.754604099487962,0.0,3.4011973816621555,6,1,true,1.0,0.9179081315952824,0.007552244982412581,0.012414649286157667,0.016294227188081937,0.04433064349265466,0.0,0.001500103455410718,1587,0.08209186840471756,6,30789.14285714286,33853.0,,7086.138286085293,7843.017855195988,,10.308897159852433,10.401710348164206,,0.2552398373932671,0.25406895028979254,,-1.7212375819023324,-2.0944770631151135,,,,,-0.4276486450933703,,,,false,false,false,false,false,false,false,true,true,false,false
2013-04-21,false,,false,raw_t0_present,full,20735,307,225,376,1302,0,54,22999,10.043249494911286,9.939626599152001,5.730099782973574,5.420534999272286,5.932245187448011,7.172424577124845,0.0,4.007333185232471,6,1,true,1.0,0.9015609374320622,0.013348406452454454,0.009783034044958476,0.016348536892908386,0.05661115700682638,0.0,0.0023479281707900345,2264,0.09843906256793773,6,30751.428571428572,33490.28571428572,,7133.415237625029,8238.153988780323,,10.307266747649294,10.387460909905593,,0.25716369579805837,0.26883565021963585,,-1.0266505616925448,-1.2803786057135276,,,,,0.1736807355787846,,,,false,false,false,false,false,false,false,true,true,false,false
2013-04-22,false,,false,raw_t0_present,full,33478,336,432,316,1690,0,34,36286,10.49921482938849,10.41867365557908,5.820082930352362,6.07073772800249,5.75890177387728,7.43307534889858,0.0,3.5553480614894135,6,1,true,1.0,0.9226147825607672,0.009259769608113321,0.011905418067574272,0.008708592845725624,0.04657443642176046,0.0,0.0009370004960590862,2808,0.07738521743923277,6,30561.571428571428,33246.92857142857,,6935.226813333573,8089.815966950106,,10.302128184593386,10.381050874736756,,0.2521611936912435,0.2646997703610415,,0.7815899104460377,0.44640746945327137,,,,,0.4559653344772041,,,,false,false,false,false,false,false,false,true,true,false,false
2013-04-23,false,,false,raw_t0_present,full,38338,284,418,286,1611,0,80,41017,10.621766273733678,10.554222933839034,5.652489180268651,6.037870919922137,5.659482215759621,7.385230923066573,0.0,4.394449154672439,6,1,true,1.0,0.9346856181583246,0.0069239583587293076,0.010190896457566375,0.006972718628861204,0.03927639759124266,0.0,0.0019504108052758613,2679,0.0653143818416754,6,31686.571428571428,33117.57142857143,,7983.130398056953,7937.880968100761,,10.332582393422673,10.377964842702278,,0.27864387739848645,0.26136589189351395,,1.0378260703623723,0.9327974253455007,,,,,0.12255144434518783,,,,false,false,false,false,false,false,false,true,true,false,false
2013-04-24,false,,false,raw_t0_present,full,34040,329,324,228,1048,0,62,36031,10.492162711499363,10.4353209594591,5.799092654460526,5.783825182329737,5.43372200355424,6.955592608396297,0.0,4.143134726391533,6,1,true,1.0,0.9447420276983709,0.009131026060892009,0.008992256667869335,0.006327884321833976,0.029086064777552663,0.0,0.0017207404734811689,1991,0.055257972301629155,6,31631.14285714286,32511.64285714286,,7946.056662029945,7299.097916941442,,10.331052301739495,10.362863501380248,,0.27758030102832326,0.2468072944764148,,0.5804100981338318,0.5238873121372456,,,,,-0.12960356223431546,,,,false,false,false,false,false,false,false,true,true,false,false
2013-04-25,false,,false,raw_t0_present,full,38824,234,336,195,1501,0,67,41157,10.625173597902494,10.566819648016887,5.459585514144159,5.820082930352362,5.278114659230517,7.31455283232408,0.0,4.219507705176107,6,1,true,1.0,0.9433146244867215,0.005685545593702165,0.008163860339674903,0.004737954661418471,0.036470102291226277,0.0,0.0016279126272566028,2333,0.05668537551327842,6,32353.0,32430.14285714286,,8620.971116991403,7186.928399822543,,10.34976472445624,10.360910278080928,,0.29432079512751147,0.244435449311757,,0.9357438482283811,1.0811170006872466,,,,,0.13301088640313097,,,,false,false,false,false,false,false,false,true,true,false,false
2013-04-26,false,,false,raw_t0_present,full,33725,175,310,182,751,0,71,35214,10.469227407179512,10.42602433223013,5.170483995038151,5.739792912179234,5.209486152841421,6.62273632394984,0.0,4.276666119016055,6,1,true,1.0,0.957715681263134,0.004969614357925825,0.008803316862611462,0.005168398932242858,0.02132674504458454,0.0,0.0020162435395013347,1489,0.04228431873686602,6,33148.0,32322.64285714286,,8586.5824400631,7128.863299261702,,10.374337581992476,10.357921032541293,,0.2963758079127292,0.24270755747388967,,0.3201672425806651,0.4586028379037699,,,,,-0.15594619072298244,,,,false,false,false,false,false,false,false,true,true,false,false
2013-04-27,false,,false,raw_t0_present,full,21819,106,187,206,831,0,29,23178,10.051001975324677,9.990582259387061,4.672828834461906,5.236441962829949,5.332718793265369,6.723832440821209,0.0,3.4011973816621555,6,1,true,1.0,0.9413668133574942,0.00457330226939339,0.008067995512986453,0.008887738372594703,0.0358529640176029,0.0,0.0012511864699283803,1359,0.05863318664250582,6,33697.42857142857,32243.285714285714,,7624.328710497357,7230.628788792762,,10.4002566128485,10.354576886350468,,0.2490259337838886,0.24685415587065349,,-1.4024829953129094,-1.2297743578797922,,,,,-0.4182254318548342,,,,false,false,false,false,false,false,false,true,true,false,false
2013-04-28,false,,false,raw_t0_present,full,20527,195,211,225,1520,0,19,22697,10.030032093861085,9.929545086855418,5.278114659230517,5.356586274672012,5.420534999272286,7.327123292259293,0.0,2.995732273553991,6,1,true,1.0,0.9043926510111469,0.00859144380314579,0.009296382781865445,0.009913204388245143,0.06696920297836718,0.0,0.0008371150372295898,2170,0.09560734898885315,6,33654.28571428572,32202.85714285714,,7695.478709698869,7286.072391974904,,10.39836841269847,10.352817580173882,,0.25221374839760013,0.24923235138741037,,-1.4604133247198148,-1.2951187296349633,,,,,-0.0209698814635928,,,,false,false,false,false,false,false,false,true,true,false,false
