state,n,pss_12,pss_10,low_data
calm bull,772,0.03438969824906788,0.02865019806310335,false
manic / unstable rally,86,0.15311244188795212,0.09420505951118195,false
panic / crisis,237,0.11079002984337818,0.11959856994181936,false
quiet bearish / exhaustion,187,0.08910458393063682,0.09458306147736378,false
indeterminate-state,0,NA,NA,true
